FileName	cy3_food	cy3_virus	cy3_time	Cy3	cy5_food	cy5_virus	cy5_time	Cy5
US84700254_256408310018_S01_GE2_1100_Jul11_1_4.txt.gz	high	virus	5d	HFV 5D	low	virus	5d	LFV 5D
US84700254_256408310018_S01_GE2_1100_Jul11_2_1.txt.gz	low	control	4	LFC 4	low	virus	4	LFV 4
US84700254_256408310018_S01_GE2_1100_Jul11_2_2.txt.gz	high	control	7d	HFC 7D	high	control	0.5	HFC 0.5
US84700254_256408310018_S01_GE2_1100_Jul11_2_3.txt.gz	high	virus	1d	HFV 1D	low	virus	1d	LFV 1D
US84700254_256408310018_S01_GE2_1100_Jul11_2_4.txt.gz	high	virus	5d	HFV 5D	high	virus	4d	HFV 4D
US84700254_256408310019_S01_GE2_1100_Jul11_1_1.txt.gz	low	control	8	LFC 8	low	virus	8	LFV 8
US84700254_256408310019_S01_GE2_1100_Jul11_1_2.txt.gz	high	virus	1d	HFV 1D	high	control	1d	HFC 1D
US84700254_256408310019_S01_GE2_1100_Jul11_1_3.txt.gz	low	control	2d	LFC 2D	low	virus	2d	LFV 2D
US84700254_256408310019_S01_GE2_1100_Jul11_1_4.txt.gz	high	virus	3d	HFV 3D	low	virus	3d	LFV 3D
US84700254_256408310019_S01_GE2_1100_Jul11_2_1.txt.gz	high	virus	4d	HFV 4D	low	virus	4d	LFV 4D
US84700254_256408310019_S01_GE2_1100_Jul11_2_2.txt.gz	low	control	8	LFC 8	low	control	4	LFC 4
US84700254_256408310019_S01_GE2_1100_Jul11_2_3.txt.gz	high	virus	5d	HFV 5D	high	control	5d	HFC 5D
US84700254_256408310019_S01_GE2_1100_Jul11_2_4.txt.gz	low	virus	3d	LFV 3D	low	virus	4d	LFV 4D
US84700254_256408310001_S01_GE2_1100_Jul11_1_1.txt.gz	high	virus	8	HFV 8	high	control	8	HFC 8
US84700254_256408310001_S01_GE2_1100_Jul11_1_2.txt.gz	high	virus	2d	HFV 2D	high	control	2d	HFC 2D
US84700254_256408310001_S01_GE2_1100_Jul11_1_3.txt.gz	high	virus	3d	HFV 3D	high	control	3d	HFC 3D
US84700254_256408310001_S01_GE2_1100_Jul11_1_4.txt.gz	low	control	4d	LFC 4D	low	virus	4d	LFV 4D
US84700254_256408310001_S01_GE2_1100_Jul11_2_1.txt.gz	high	virus	1	HFV 1	high	virus	0.5	HFV 0.5
US84700254_256408310001_S01_GE2_1100_Jul11_2_2.txt.gz	high	virus	4d	HFV 4D	high	virus	2	HFV 2
US84700254_256408310001_S01_GE2_1100_Jul11_2_3.txt.gz	high	virus	8	HFV 8	high	virus	4	HFV 4
US84700254_256408310001_S01_GE2_1100_Jul11_2_4.txt.gz	high	control	2d	HFC 2D	high	control	3d	HFC 3D
US84700254_256408310002_S01_GE2_1100_Jul11_1_1.txt.gz	high	control	2	HFC 2	high	virus	2	HFV 2
US84700254_256408310002_S01_GE2_1100_Jul11_1_2.txt.gz	high	virus	4d	HFV 4D	high	control	4d	HFC 4D
US84700254_256408310002_S01_GE2_1100_Jul11_1_3.txt.gz	high	virus	1d	HFV 1D	high	virus	16	HFV 16
US84700254_256408310002_S01_GE2_1100_Jul11_1_4.txt.gz	high	virus	3d	HFV 3D	high	virus	2d	HFV 2D
US84700254_256408310002_S01_GE2_1100_Jul11_2_1.txt.gz	low	virus	16	LFV 16	high	virus	1d	HFV 1D
US84700254_256408310002_S01_GE2_1100_Jul11_2_2.txt.gz	low	virus	16	LFV 16	high	virus	16	HFV 16
US84700254_256408310002_S01_GE2_1100_Jul11_2_3.txt.gz	low	control	4	LFC 4	low	control	2	LFC 2
US84700254_256408310002_S01_GE2_1100_Jul11_2_4.txt.gz	low	virus	8	LFV 8	low	virus	16	LFV 16
US84700254_256408310003_S01_GE2_1100_Jul11_1_1.txt.gz	high	control	4d	HFC 4D	low	control	4d	LFC 4D
US84700254_256408310003_S01_GE2_1100_Jul11_1_2.txt.gz	low	virus	8	LFV 8	low	control	1	LFC 1
US84700254_256408310003_S01_GE2_1100_Jul11_1_3.txt.gz	low	virus	1d	LFV 1D	low	virus	2d	LFV 2D
US84700254_256408310003_S01_GE2_1100_Jul11_1_4.txt.gz	low	virus	4d	LFV 4D	low	virus	5d	LFV 5D
US84700254_256408310003_S01_GE2_1100_Jul11_2_1.txt.gz	low	virus	16	LFV 16	low	virus	0.5	LFV 0.5
US84700254_256408310003_S01_GE2_1100_Jul11_2_2.txt.gz	low	control	4d	LFC 4D	low	control	3d	LFC 3D
US84700254_256408310003_S01_GE2_1100_Jul11_2_3.txt.gz	low	control	6d	LFC 6D	low	control	5d	LFC 5D
US84700254_256408310003_S01_GE2_1100_Jul11_2_4.txt.gz	low	virus	8	LFV 8	low	virus	4	LFV 4
US84700254_256408310004_S01_GE2_1100_Jul11_1_1.txt.gz	high	virus	8	HFV 8	low	virus	8	LFV 8
US84700254_256408310004_S01_GE2_1100_Jul11_1_2.txt.gz	low	control	7d	LFC 7D	low	control	6d	LFC 6D
US84700254_256408310004_S01_GE2_1100_Jul11_1_3.txt.gz	low	virus	1	LFV 1	low	control	2	LFC 2
US84700254_256408310004_S01_GE2_1100_Jul11_1_4.txt.gz	low	virus	2d	LFV 2D	low	virus	3d	LFV 3D
US84700254_256408310004_S01_GE2_1100_Jul11_2_1.txt.gz	low	virus	5d	LFV 5D	low	control	0.5	LFC 0.5
